PartyCode,DateTime,Cluster,record_count
55720,201605,2,8
55720,201605,5,2
55720,201605,6,1
55720,201605,7,1
61320,196011,0,27
61320,196011,1,24
61320,196011,2,49
61320,196011,3,16
61320,196011,4,23
61320,196011,5,51
61320,196011,6,31
61320,196011,7,40
61320,196411,0,4
61320,196411,1,17
61320,196411,2,14
61320,196411,3,6
61320,196411,4,5
61320,196411,5,3
61320,196411,6,26
61320,196411,7,3
61320,196811,0,27
61320,196811,1,52
61320,196811,2,33
61320,196811,3,28
61320,196811,4,18
61320,196811,5,18
61320,196811,6,34
61320,196811,7,24
61320,197211,0,18
61320,197211,1,27
